2025-05-19 14:27:14,000 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024091102/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240911.nc | Header Content-Type: text/html
2025-05-19 14:27:14,264 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024091202/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240912.nc | Header Content-Type: text/html
2025-05-19 14:27:14,543 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024091302/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240913.nc | Header Content-Type: text/html
2025-05-19 14:27:14,803 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024091402/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240914.nc | Header Content-Type: text/html
2025-05-19 14:27:15,063 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024091502/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240915.nc | Header Content-Type: text/html
2025-05-19 14:27:15,327 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024091602/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240916.nc | Header Content-Type: text/html
2025-05-19 14:27:15,591 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024091702/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240917.nc | Header Content-Type: text/html
2025-05-19 14:27:15,853 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024091802/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240918.nc | Header Content-Type: text/html
2025-05-19 14:27:16,115 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024091902/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240919.nc | Header Content-Type: text/html
2025-05-19 14:27:16,379 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024092002/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240920.nc | Header Content-Type: text/html
2025-05-19 14:27:16,645 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024092102/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240921.nc | Header Content-Type: text/html
2025-05-19 14:27:16,908 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024092202/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240922.nc | Header Content-Type: text/html
2025-05-19 14:27:17,172 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024092302/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240923.nc | Header Content-Type: text/html
2025-05-19 14:27:17,435 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024092402/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240924.nc | Header Content-Type: text/html
2025-05-19 14:27:17,714 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024092502/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240925.nc | Header Content-Type: text/html
2025-05-19 14:27:17,976 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024092602/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240926.nc | Header Content-Type: text/html
2025-05-19 14:27:18,239 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024092702/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240927.nc | Header Content-Type: text/html
2025-05-19 14:27:18,503 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024092802/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240928.nc | Header Content-Type: text/html
2025-05-19 14:27:18,765 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024092902/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240929.nc | Header Content-Type: text/html
2025-05-19 14:27:19,026 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024093002/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240930.nc | Header Content-Type: text/html
2025-05-19 14:27:19,289 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024100102/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20241001.nc | Header Content-Type: text/html
2025-05-19 14:27:19,551 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024100202/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20241002.nc | Header Content-Type: text/html
2025-05-19 14:27:19,812 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024100302/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20241003.nc | Header Content-Type: text/html
2025-05-19 14:27:20,106 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024100402/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20241004.nc | Header Content-Type: text/html
2025-05-19 14:27:20,373 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024100502/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20241005.nc | Header Content-Type: text/html
2025-05-19 14:27:20,637 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024100602/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20241006.nc | Header Content-Type: text/html
2025-05-19 14:27:20,895 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024100702/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20241007.nc | Header Content-Type: text/html
2025-05-19 14:27:21,159 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024100802/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20241008.nc | Header Content-Type: text/html
2025-05-19 14:27:21,423 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024100902/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20241009.nc | Header Content-Type: text/html
2025-05-19 14:27:21,685 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024101002/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20241010.nc | Header Content-Type: text/html
