2025-05-19 13:44:29,638 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025050208/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250502.nc | Header Content-Type: text/html
2025-05-19 13:44:29,901 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025050308/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250503.nc | Header Content-Type: text/html
2025-05-19 13:44:30,165 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025050408/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250504.nc | Header Content-Type: text/html
2025-05-19 13:44:30,428 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025050508/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250505.nc | Header Content-Type: text/html
2025-05-19 13:44:30,694 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025050608/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250506.nc | Header Content-Type: text/html
2025-05-19 13:44:30,957 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025050708/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250507.nc | Header Content-Type: text/html
2025-05-19 13:44:31,222 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025050808/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250508.nc | Header Content-Type: text/html
2025-05-19 13:44:31,488 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025050908/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250509.nc | Header Content-Type: text/html
2025-05-19 13:44:31,756 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025051008/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250510.nc | Header Content-Type: text/html
2025-05-19 13:44:32,016 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025051108/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250511.nc | Header Content-Type: text/html
